indic_se,l_serv,nace_r2,sex,sizeclas,unit,time\geo	BE 	BG 	CZ 	DK 	DE 	EE 	IE 	ES 	FR 	IT 	CY 	LV 	LT 	LU 	HU 	MT 	NL 	AT 	PL 	PT 	RO 	SI 	SK 	FI 	SE 	UK 	IS 	NO 	CH 	AL 	RS 
ERN,Y15-19,G-S,M,TOTAL,NAC,2018	: 	8.4 	238.97 	: 	26.49 	8.81 	30.5 	14.79 	: 	: 	14.77 	7.92 	6.51 	: 	2111.81 	: 	25.35 	: 	35.06 	: 	: 	12.63 	8.56 	: 	: 	22.32 	: 	360.67 	56.03 	: 	: 
ERN,Y15-19,G-S,M,TOTAL,PPS,2018	: 	8.26 	12.69 	: 	24.8 	10.62 	22.99 	15.45 	: 	: 	16.43 	10.35 	9.58 	: 	10.27 	: 	21.95 	: 	13.82 	: 	: 	14.49 	10.74 	: 	: 	21.01 	: 	24.88 	31.1 	: 	: 
ERN,Y15-19,G-S,T,GE10,EUR,2018	: 	3.96 	8.55 	33.04 	23.26 	8.19 	28.45 	13.93 	19.21 	18.26 	15.97 	7.39 	6.2 	32.96 	6.26 	14.76 	22.3 	: 	7.89 	: 	6.94 	11.74 	7.35 	22.12 	21.71 	22.12 	30.06 	33.47 	41.5 	: 	3.81 
ERN,Y15-19,G-S,T,GE10,NAC,2018	: 	7.75 	219.24 	246.24 	23.26 	8.19 	28.45 	13.93 	19.21 	18.26 	15.97 	7.39 	6.2 	32.96 	1995.69 	14.76 	22.3 	: 	33.62 	: 	32.28 	11.74 	7.35 	22.12 	222.75 	19.57 	3843.99 	321.25 	47.93 	: 	450.8 
ERN,Y15-19,G-S,T,GE10,PPS,2018	: 	7.62 	11.64 	23.34 	21.78 	9.87 	21.44 	14.56 	16.91 	17.64 	17.76 	9.66 	9.12 	25.45 	9.71 	17.34 	19.31 	: 	13.25 	: 	12.82 	13.47 	9.23 	17.56 	17.57 	18.42 	18.51 	22.16 	26.6 	: 	6.85 
ERN,Y15-19,G-S,T,TOTAL,EUR,2018	: 	3.77 	8.12 	: 	22.58 	7.75 	27.49 	13.47 	: 	: 	14.28 	7.12 	5.95 	: 	6.14 	: 	22.37 	: 	7.84 	: 	: 	11.45 	7.25 	: 	: 	21.83 	: 	33.37 	41.1 	: 	: 
ERN,Y15-19,G-S,T,TOTAL,NAC,2018	: 	7.38 	208.14 	: 	22.58 	7.75 	27.49 	13.47 	: 	: 	14.28 	7.12 	5.95 	: 	1958.04 	: 	22.37 	: 	33.39 	: 	: 	11.45 	7.25 	: 	: 	19.31 	: 	320.28 	47.47 	: 	: 
ERN,Y15-19,G-S,T,TOTAL,PPS,2018	: 	7.26 	11.05 	: 	21.13 	9.34 	20.71 	14.08 	: 	: 	15.88 	9.31 	8.76 	: 	9.53 	: 	19.37 	: 	13.16 	: 	: 	13.14 	9.1 	: 	: 	18.17 	: 	22.1 	26.35 	: 	: 
ERN,Y15-19,G-S_X_O,F,GE10,EUR,2018	23.41 	3.72 	7.34 	30.07 	20.53 	7.33 	26.47 	12.73 	17.81 	17.35 	15.75 	6.59 	5.69 	29.82 	5.73 	13.61 	19.93 	18.88 	7.81 	8.6 	6.75 	10.83 	6.68 	19.85 	20.01 	19.58 	27.16 	30 	35.25 	2.97 	3.68 
ERN,Y15-19,G-S_X_O,F,GE10,NAC,2018	23.41 	7.28 	188.36 	224.12 	20.53 	7.33 	26.47 	12.73 	17.81 	17.35 	15.75 	6.59 	5.69 	29.82 	1826.85 	13.61 	19.93 	18.88 	33.3 	8.6 	31.41 	10.83 	6.68 	19.85 	205.3 	17.33 	3473.15 	287.9 	40.72 	378.84 	435.24 
