indic_se,l_serv,nace_r2,sex,sizeclas,unit,time\geo	BE 	BG 	CZ 	DK 	DE 	EE 	IE 	ES 	FR 	IT 	CY 	LV 	LT 	LU 	HU 	MT 	NL 	AT 	PL 	PT 	RO 	SI 	SK 	FI 	SE 	UK 	IS 	NO 	CH 	AL 	RS 
OPAY,Y10-14,Q,M,GE10,PPS,2018	21.14 	9.52 	18.7 	39.61 	31.22 	22.52 	113.91 	22.17 	21.18 	19.21 	35.51 	8.03 	: 	56.5 	11.28 	15.02 	26.52 	28.45 	18.52 	17.79 	14.96 	23.52 	14.77 	55.85 	36.73 	35.62 	27.68 	38.46 	31.18 	6.76 	9.52 
OPAY,Y10-14,Q,M,TOTAL,EUR,2018	: 	4.97 	13.73 	: 	32.8 	18.69 	151.14 	21.25 	: 	: 	31.93 	6.13 	: 	: 	7.27 	: 	30.53 	: 	11.03 	: 	: 	20.51 	11.66 	: 	: 	42.79 	: 	58.05 	48.63 	: 	: 
OPAY,Y10-14,Q,M,TOTAL,NAC,2018	: 	9.68 	352.07 	: 	32.8 	18.69 	151.14 	21.25 	: 	: 	31.93 	6.13 	: 	: 	2318.83 	: 	30.53 	: 	47 	: 	: 	20.51 	11.66 	: 	: 	37.85 	: 	557.12 	56.17 	: 	: 
OPAY,Y10-14,Q,M,TOTAL,PPS,2018	: 	9.52 	18.7 	: 	30.7 	22.52 	113.91 	22.17 	: 	: 	35.51 	8.03 	: 	: 	11.28 	: 	26.41 	: 	18.52 	: 	: 	23.52 	14.62 	: 	: 	35.62 	: 	38.44 	31.18 	: 	: 
OPAY,Y10-14,Q,T,GE10,EUR,2018	25.83 	4.06 	11.63 	42.93 	25.77 	13.52 	68.85 	17.47 	19.93 	18.29 	23.5 	6.28 	4.34 	56.48 	7 	12 	30.05 	29.26 	10.67 	15.04 	6.96 	16 	10.12 	37.17 	39.7 	25.89 	40.54 	43.49 	43.43 	3.55 	4.73 
OPAY,Y10-14,Q,T,GE10,NAC,2018	25.83 	7.91 	298.18 	319.96 	25.77 	13.52 	68.85 	17.47 	19.93 	18.29 	23.5 	6.28 	4.34 	56.48 	2233.22 	12 	30.05 	29.26 	45.45 	15.04 	32.37 	16 	10.12 	37.17 	407.37 	22.91 	5184.48 	417.42 	50.17 	452.95 	559.38 
OPAY,Y10-14,Q,T,GE10,PPS,2018	22.49 	7.79 	15.83 	30.33 	24.13 	16.29 	51.88 	18.24 	17.53 	17.68 	26.15 	8.21 	6.39 	43.62 	10.86 	14.1 	25.99 	26.14 	17.91 	16.89 	12.86 	18.35 	12.71 	29.49 	32.13 	21.56 	24.97 	28.8 	27.85 	6.57 	8.5 
OPAY,Y10-14,Q,T,TOTAL,EUR,2018	: 	4.06 	11.62 	: 	25.45 	13.56 	68.85 	17.47 	: 	: 	23.5 	6.28 	4.34 	: 	7 	: 	29.66 	: 	10.67 	: 	: 	16 	10.14 	: 	: 	25.64 	: 	43.44 	43.35 	: 	: 
OPAY,Y10-14,Q,T,TOTAL,NAC,2018	: 	7.91 	298.11 	: 	25.45 	13.56 	68.85 	17.47 	: 	: 	23.5 	6.28 	4.34 	: 	2232.11 	: 	29.66 	: 	45.44 	: 	: 	16 	10.14 	: 	: 	22.68 	: 	416.95 	50.05 	: 	: 
OPAY,Y10-14,Q,T,TOTAL,PPS,2018	: 	7.79 	15.83 	: 	23.83 	16.34 	51.88 	18.24 	: 	: 	26.15 	8.21 	6.39 	: 	10.86 	: 	25.66 	: 	17.91 	: 	: 	18.35 	12.72 	: 	: 	21.35 	: 	28.76 	27.79 	: 	: 
OPAY,Y10-14,R,F,GE10,EUR,2018	47.62 	4.21 	7.16 	33.37 	13.97 	6.46 	: 	15.37 	18.66 	15.43 	: c	6.17 	5.67 	: c	5.61 	: c	20.76 	24.7 	6.55 	5.42 	2.39 	15.32 	5.17 	25.3 	29.96 	11.41 	: 	37.29 	41.11 	: 	3.85 
OPAY,Y10-14,R,F,GE10,NAC,2018	47.62 	8.25 	183.61 	248.75 	13.97 	6.46 	: 	15.37 	18.66 	15.43 	: c	6.17 	5.67 	: c	1782.82 	: c	20.76 	24.7 	27.84 	5.42 	11.1 	15.32 	5.17 	25.3 	307.11 	10.12 	: 	357.8 	47.5 	: 	456.37 
OPAY,Y10-14,R,F,GE10,PPS,2018	41.62 	8.08 	9.75 	23.59 	13.05 	7.8 	: 	16.05 	16.51 	14.88 	: c	8.05 	8.4 	: c	8.66 	: c	17.96 	22.08 	11 	6.1 	4.41 	17.57 	6.48 	20.11 	24.23 	9.53 	: 	24.7 	26.39 	: 	6.93 
OPAY,Y10-14,R,F,TOTAL,EUR,2018	: 	4.21 	6.78 	: 	13.67 	6.46 	: 	15.37 	: 	: 	: 	6.17 	5.67 	: 	5.59 	: 	18 	: 	6.55 	: 	: 	15.32 	5.17 	: 	: 	18.54 	: 	37.05 	39.48 	: 	: 
OPAY,Y10-14,R,F,TOTAL,NAC,2018	: 	8.25 	173.96 	: 	13.67 	6.46 	: 	15.37 	: 	: 	: 	6.17 	5.67 	: 	1779.35 	: 	18 	: 	27.84 	: 	: 	15.32 	5.17 	: 	: 	16.43 	: 	355.49 	45.62 	: 	: 
OPAY,Y10-14,R,F,TOTAL,PPS,2018	: 	8.08 	9.24 	: 	12.78 	7.8 	: 	16.05 	: 	: 	: 	8.05 	8.4 	: 	8.65 	: 	15.57 	: 	11 	: 	: 	17.57 	6.48 	: 	: 	15.48 	: 	24.54 	25.32 	: 	: 
OPAY,Y10-14,R,M,GE10,EUR,2018	15.69 	11.06 	7.52 	36.71 	20.91 	9.83 	14 	13.09 	20.19 	19.37 	: c	11.14 	4.12 	: c	5.74 	: c	18.91 	31.89 	7.48 	9.94 	3.5 	10.55 	6.6 	28.64 	21.89 	21.26 	: 	42.39 	47.95 	: 	2.52 
OPAY,Y10-14,R,M,GE10,NAC,2018	15.69 	21.69 	192.71 	273.59 	20.91 	9.83 	14 	13.09 	20.19 	19.37 	: c	11.14 	4.12 	: c	1830.02 	: c	18.91 	31.89 	31.82 	9.94 	16.25 	10.55 	6.6 	28.64 	224.66 	18.81 	: 	406.83 	55.38 	: 	298.69 
OPAY,Y10-14,R,M,GE10,PPS,2018	13.64 	21.31 	10.21 	25.95 	19.58 	11.83 	10.5 	13.78 	17.82 	18.7 	: c	14.54 	6.07 	: c	8.92 	: c	16.38 	28.49 	12.52 	11.17 	6.5 	12.1 	8.28 	22.72 	17.74 	17.72 	: 	28.05 	30.72 	: 	4.54 
OPAY,Y10-14,R,M,TOTAL,EUR,2018	: 	6.59 	7.54 	: 	20.91 	9.83 	14 	13.09 	: 	: 	: 	11.14 	4.12 	: 	5.71 	: 	19.03 	: 	7.49 	: 	: 	10.55 	6.6 	: 	: 	21.2 	: 	42.29 	47.81 	: 	: 
OPAY,Y10-14,R,M,TOTAL,NAC,2018	: 	12.43 	193.08 	: 	20.91 	9.83 	14 	13.09 	: 	: 	: 	11.14 	4.12 	: 	1821.46 	: 	19.03 	: 	31.85 	: 	: 	10.55 	6.6 	: 	: 	18.75 	: 	405.83 	55.22 	: 	: 
OPAY,Y10-14,R,M,TOTAL,PPS,2018	: 	12.26 	10.23 	: 	19.58 	11.83 	10.5 	13.78 	: 	: 	: 	14.54 	6.07 	: 	8.87 	: 	16.48 	: 	12.53 	: 	: 	12.1 	8.28 	: 	: 	17.66 	: 	27.99 	30.63 	: 	: 
OPAY,Y10-14,R,T,GE10,EUR,2018	17.82 	6.5 	7.38 	35.62 	17.2 	6.77 	14 	14.27 	19.63 	17.48 	: c	7.23 	4.68 	19.34 	5.69 	11.59 	20.01 	29.68 	7.04 	9.32 	3.16 	13.82 	5.83 	27.41 	23.79 	15.26 	: 	40.47 	45.34 	: 	3.27 
OPAY,Y10-14,R,T,GE10,NAC,2018	17.82 	12.74 	189.08 	265.43 	17.2 	6.77 	14 	14.27 	19.63 	17.48 	: c	7.23 	4.68 	19.34 	1812.74 	11.59 	20.01 	29.68 	29.92 	9.32 	14.68 	13.82 	5.83 	27.41 	244.06 	13.51 	: 	388.3 	52.38 	: 	387.51 
OPAY,Y10-14,R,T,GE10,PPS,2018	15.5 	12.5 	10.03 	25.17 	16.09 	8.17 	10.5 	14.96 	17.35 	16.86 	: c	9.44 	6.91 	14.93 	8.82 	13.64 	17.32 	26.52 	11.79 	10.47 	5.86 	15.85 	7.32 	21.75 	19.27 	12.73 	: 	26.79 	29.07 	: 	5.88 
OPAY,Y10-14,R,T,TOTAL,EUR,2018	: 	5.47 	7.18 	: 	16.79 	6.77 	14 	14.27 	: 	: 	11.88 	7.23 	4.68 	: 	5.67 	: 	18.38 	: 	7.05 	: 	: 	13.82 	5.83 	: 	: 	19.59 	: 	40.31 	44.19 	: 	: 
OPAY,Y10-14,R,T,TOTAL,NAC,2018	: 	10.46 	184.05 	: 	16.79 	6.77 	14 	14.27 	: 	: 	11.88 	7.23 	4.68 	: 	1805.76 	: 	18.38 	: 	29.96 	: 	: 	13.82 	5.83 	: 	: 	17.35 	: 	386.81 	51.05 	: 	: 
OPAY,Y10-14,R,T,TOTAL,PPS,2018	: 	10.3 	9.76 	: 	15.71 	8.17 	10.5 	14.96 	: 	: 	13.21 	9.44 	6.91 	: 	8.79 	: 	15.9 	: 	11.81 	: 	: 	15.85 	7.32 	: 	: 	16.35 	: 	26.68 	28.33 	: 	: 
OPAY,Y10-14,S,F,GE10,EUR,2018	59.5 	: 	6.83 	49.11 	17.26 	7.99 	10.18 	16.31 	15.07 	12.44 	7.09 	6.94 	14 	: c	7.23 	: c	17.29 	24.46 	7.05 	12.75 	9.91 	8.44 	4.95 	33.89 	22.83 	16.97 	: 	45.59 	34.01 	: c	5.9 
OPAY,Y10-14,S,F,GE10,NAC,2018	59.5 	: 	174.52 	366.06 	17.26 	7.99 	10.18 	16.31 	15.07 	12.44 	7.09 	6.94 	14 	: c	2291.66 	: c	17.29 	24.46 	29.97 	12.75 	46.24 	8.44 	4.95 	33.89 	234.28 	15.02 	: 	437.66 	39.31 	: c	699.97 
OPAY,Y10-14,S,F,GE10,PPS,2018	51.75 	: 	9.27 	34.7 	16.19 	9.64 	7.65 	17.07 	13.3 	12 	7.91 	9.06 	21 	: c	11.2 	: c	14.95 	21.84 	11.84 	14.32 	18.38 	9.65 	6.28 	26.9 	18.46 	14.19 	: 	30.2 	21.83 	: c	10.61 
OPAY,Y10-14,S,F,TOTAL,EUR,2018	: 	: 	6.83 	: 	16.21 	7.99 	10.18 	16.31 	: 	: 	: 	6.94 	14 	: 	7.23 	: 	16.37 	: 	7.05 	: 	: 	8.44 	4.95 	: 	: 	16.03 	: 	44.29 	35.52 	: 	: 
OPAY,Y10-14,S,F,TOTAL,NAC,2018	: 	: 	174.51 	: 	16.21 	7.99 	10.18 	16.31 	: 	: 	: 	6.94 	14 	: 	2291.66 	: 	16.37 	: 	29.97 	: 	: 	8.44 	4.95 	: 	: 	14.17 	: 	425.18 	41.05 	: 	: 
OPAY,Y10-14,S,F,TOTAL,PPS,2018	: 	: 	9.27 	: 	15.21 	9.64 	7.65 	17.07 	: 	: 	: 	9.06 	21 	: 	11.2 	: 	14.18 	: 	11.84 	: 	: 	9.65 	6.28 	: 	: 	13.37 	: 	29.34 	22.78 	: 	: 
OPAY,Y10-14,S,M,GE10,EUR,2018	24.33 	: 	10.31 	37.86 	24.83 	: 	49.75 	15.01 	17.54 	13.34 	: 	9.23 	: 	: c	9.1 	: c	23.94 	34.96 	13.41 	12.38 	5.22 	10.21 	6.44 	32.52 	23.65 	19.69 	: 	43.06 	49.18 	: c	4.78 
OPAY,Y10-14,S,M,GE10,NAC,2018	24.33 	: 	264.36 	282.28 	24.83 	: 	49.75 	15.01 	17.54 	13.34 	: 	9.23 	: 	: c	2899.81 	: c	23.94 	34.96 	57.09 	12.38 	24.32 	10.21 	6.44 	32.52 	242.8 	17.42 	: 	413.22 	56.8 	: c	562.8 
OPAY,Y10-14,S,M,GE10,PPS,2018	21.33 	: 	14.06 	26.75 	23.27 	: 	37.5 	15.71 	15.48 	12.9 	: 	12.05 	: 	: c	14.1 	: c	20.69 	31.23 	22.5 	13.92 	9.67 	11.71 	8.06 	25.78 	19.2 	16.38 	: 	28.48 	31.55 	: c	8.54 
OPAY,Y10-14,S,M,TOTAL,EUR,2018	: 	: 	10.31 	: 	24.38 	: 	49.75 	15.01 	: 	: 	: 	9.23 	: 	: 	9.1 	: 	23.01 	: 	13.41 	: 	: 	10.21 	6.44 	: 	: 	19.06 	: 	42.58 	49.22 	: 	: 
OPAY,Y10-14,S,M,TOTAL,NAC,2018	: 	: 	264.36 	: 	24.38 	: 	49.75 	15.01 	: 	: 	: 	9.23 	: 	: 	2899.81 	: 	23.01 	: 	57.09 	: 	: 	10.21 	6.44 	: 	: 	16.86 	: 	408.58 	56.85 	: 	: 
OPAY,Y10-14,S,M,TOTAL,PPS,2018	: 	: 	14.06 	: 	22.85 	: 	37.5 	15.71 	: 	: 	: 	12.05 	: 	: 	14.1 	: 	19.89 	: 	22.5 	: 	: 	11.71 	8.06 	: 	: 	15.86 	: 	28.17 	31.58 	: 	: 
OPAY,Y10-14,S,T,GE10,EUR,2018	30.52 	: 	8.15 	44.66 	19.28 	7.99 	24.81 	15.61 	15.94 	12.9 	7.09 	8.32 	14 	24.05 	8.03 	: c	22.27 	30.54 	11 	12.61 	6.99 	8.94 	5.5 	33.41 	23.21 	18.17 	: 	44.43 	38.8 	: 	5.6 
OPAY,Y10-14,S,T,GE10,NAC,2018	30.52 	: 	208.64 	332.91 	19.28 	7.99 	24.81 	15.61 	15.94 	12.9 	7.09 	8.32 	14 	24.05 	2550.18 	: c	22.27 	30.54 	46.83 	12.61 	32.59 	8.94 	5.5 	33.41 	238.19 	16.07 	: 	426.41 	44.83 	: 	663.64 
OPAY,Y10-14,S,T,GE10,PPS,2018	26.68 	: 	11.09 	31.56 	18.08 	9.64 	18.69 	16.34 	14.07 	12.47 	7.91 	10.87 	21 	18.51 	12.43 	: c	19.25 	27.27 	18.47 	14.17 	12.96 	10.22 	6.93 	26.51 	18.8 	15.15 	: 	29.41 	24.9 	: 	10.06 
OPAY,Y10-14,S,T,TOTAL,EUR,2018	: 	: 	8.15 	: 	18.11 	7.99 	24.81 	15.61 	: 	: 	7.09 	8.32 	14 	: 	8.03 	: 	20.54 	: 	11 	: 	: 	8.94 	5.5 	: 	: 	17.33 	: 	43.52 	39.76 	: 	: 
OPAY,Y10-14,S,T,TOTAL,NAC,2018	: 	: 	208.6 	: 	18.11 	7.99 	24.81 	15.61 	: 	: 	7.09 	8.32 	14 	: 	2550.18 	: 	20.54 	: 	46.83 	: 	: 	8.94 	5.5 	: 	: 	15.33 	: 	417.67 	45.94 	: 	: 
OPAY,Y10-14,S,T,TOTAL,PPS,2018	: 	: 	11.08 	: 	16.98 	9.64 	18.69 	16.34 	: 	: 	7.91 	10.87 	21 	: 	12.43 	: 	17.76 	: 	18.47 	: 	: 	10.22 	6.93 	: 	: 	14.44 	: 	28.81 	25.51 	: 	: 
OPAY,Y15-19,B,F,GE10,EUR,2018	: c	7.73 	7.24 	44.5 	13.28 	8.5 	: c	: 	17.75 	14.05 	: 	: 	: c	: c	13.01 	: 	: c	26.52 	8.05 	: c	7.11 	16.38 	5.62 	: c	: c	: c	: 	60.31 	35.28 	: c	: 
OPAY,Y15-19,B,F,GE10,NAC,2018	: c	15.14 	185.56 	331.63 	13.28 	8.5 	: c	: 	17.75 	14.05 	: 	: 	: c	: c	4142.86 	: 	: c	26.52 	34.3 	: c	33.08 	16.38 	5.62 	: c	: c	: c	: 	578.92 	40.85 	: c	: 
OPAY,Y15-19,B,F,GE10,PPS,2018	: c	14.88 	9.85 	31.38 	12.42 	10.25 	: c	: 	15.68 	13.92 	: 	: 	: c	: c	20.13 	: 	: c	23.75 	13.52 	: c	13.15 	18.84 	7.06 	: c	: c	: c	: 	39.94 	22.57 	: c	: 
OPAY,Y15-19,B,F,TOTAL,EUR,2018	: 	7.73 	7.24 	: 	13.28 	8.5 	: 	14.71 	: 	: 	: 	: 	: 	: 	13.01 	: 	: 	: 	8.05 	: 	: 	16.38 	5.62 	: 	: 	: 	: 	60.22 	35.28 	: 	: 
OPAY,Y15-19,B,F,TOTAL,NAC,2018	: 	15.14 	185.56 	: 	13.28 	8.5 	: 	14.71 	: 	: 	: 	: 	: 	: 	4142.86 	: 	: 	: 	34.3 	: 	: 	16.38 	5.62 	: 	: 	: 	: 	578.01 	40.85 	: 	: 
OPAY,Y15-19,B,F,TOTAL,PPS,2018	: 	14.88 	9.85 	: 	12.42 	10.25 	: 	15.43 	: 	: 	: 	: 	: 	: 	20.13 	: 	: 	: 	13.52 	: 	: 	18.84 	7.06 	: 	: 	: 	: 	39.87 	22.57 	: 	: 
OPAY,Y15-19,B,M,GE10,EUR,2018	: c	8.6 	10.79 	66.66 	21.08 	: c	: c	21.1 	20.93 	16.84 	: c	8.26 	: c	: c	8.2 	: 	: c	25.85 	13.67 	: c	8.51 	14.02 	6.01 	: c	: c	: c	: 	81.51 	40.51 	: c	4.38 
OPAY,Y15-19,B,M,GE10,NAC,2018	: c	16.8 	276.6 	496.67 	21.08 	: c	: c	21.1 	20.93 	16.84 	: c	8.26 	: c	: c	2614.35 	: 	: c	25.85 	58.25 	: c	39.66 	14.02 	6.01 	: c	: c	: c	: 	782.25 	46.77 	: c	518.27 
OPAY,Y15-19,B,M,GE10,PPS,2018	: c	16.52 	14.69 	47.03 	19.73 	: c	: c	22.04 	18.41 	16.28 	: c	10.79 	: c	: c	12.72 	: 	: c	23.09 	22.95 	: c	15.76 	16.08 	7.54 	: c	: c	: c	: 	53.97 	25.95 	: c	7.87 
OPAY,Y15-19,B,M,TOTAL,EUR,2018	: 	8.6 	10.79 	: 	21.13 	: 	: 	20.79 	: 	: 	: 	8.05 	: 	: 	8.2 	: 	: 	: 	13.67 	: 	: 	14.02 	6.01 	: 	: 	: 	: 	81.31 	40.51 	: 	: 
OPAY,Y15-19,B,M,TOTAL,NAC,2018	: 	16.8 	276.6 	: 	21.13 	: 	: 	20.79 	: 	: 	: 	8.05 	: 	: 	2614.35 	: 	: 	: 	58.25 	: 	: 	14.02 	6.01 	: 	: 	: 	: 	780.35 	46.77 	: 	: 
OPAY,Y15-19,B,M,TOTAL,PPS,2018	: 	16.52 	14.69 	: 	19.77 	: 	: 	21.71 	: 	: 	: 	10.52 	: 	: 	12.72 	: 	: 	: 	22.95 	: 	: 	16.08 	7.54 	: 	: 	: 	: 	53.84 	25.95 	: 	: 
OPAY,Y15-19,B,T,GE10,EUR,2018	: 	8.47 	10.59 	66.35 	21.02 	: c	: c	21.1 	19.86 	16.71 	: c	8.26 	9.6 	: c	8.44 	: 	21 	25.93 	13.18 	8.37 	8.35 	14.16 	5.97 	29.45 	24.88 	20.94 	: 	78.9 	39.99 	2 	4.38 
OPAY,Y15-19,B,T,GE10,NAC,2018	: 	16.55 	271.54 	494.35 	21.02 	: c	: c	21.1 	19.86 	16.71 	: c	8.26 	9.6 	: c	2690.2 	: 	21 	25.93 	56.17 	8.37 	38.89 	14.16 	5.97 	29.45 	255.06 	18.53 	: 	757.23 	46.18 	255.78 	518.27 
OPAY,Y15-19,B,T,GE10,PPS,2018	: 	16.28 	14.42 	46.81 	19.67 	: c	: c	22.04 	17.49 	16.16 	: c	10.79 	14.14 	: c	13.09 	: 	18 	23.17 	22.14 	9.4 	15.45 	16.24 	7.49 	23.39 	20.07 	17.42 	: 	52.24 	25.61 	3.71 	7.87 
OPAY,Y15-19,B,T,TOTAL,EUR,2018	: 	8.47 	10.59 	: 	21.07 	: 	: 	20.53 	: 	: 	: 	8.05 	9.6 	: 	8.44 	: 	22.96 	: 	13.18 	: 	: 	14.16 	5.97 	: 	: 	20.94 	: 	78.71 	39.99 	: 	: 
OPAY,Y15-19,B,T,TOTAL,NAC,2018	: 	16.55 	271.54 	: 	21.07 	: 	: 	20.53 	: 	: 	: 	8.05 	9.6 	: 	2690.2 	: 	22.96 	: 	56.17 	: 	: 	14.16 	5.97 	: 	: 	18.53 	: 	755.46 	46.18 	: 	: 
OPAY,Y15-19,B,T,TOTAL,PPS,2018	: 	16.28 	14.42 	: 	19.72 	: 	: 	21.44 	: 	: 	: 	10.52 	14.14 	: 	13.09 	: 	19.74 	: 	22.14 	: 	: 	16.24 	7.49 	: 	: 	17.42 	: 	52.12 	25.61 	: 	: 
OPAY,Y15-19,B-E,F,GE10,EUR,2018	36.44 	4.45 	8.32 	40.6 	21.68 	8.57 	71.86 	17.8 	17.06 	14.33 	11.95 	6.79 	5.72 	19.97 	6.83 	10.38 	20.85 	25.92 	7.57 	8.96 	5.68 	9.97 	6.36 	32.07 	24.58 	20.04 	34.35 	41.12 	33.62 	1.6 	3.02 
OPAY,Y15-19,B-E,F,GE10,NAC,2018	36.44 	8.71 	213.43 	302.54 	21.68 	8.57 	71.86 	17.8 	17.06 	14.33 	11.95 	6.79 	5.72 	19.97 	2179.71 	10.38 	20.85 	25.92 	32.25 	8.96 	26.45 	9.97 	6.36 	32.07 	252.29 	17.71 	4392.93 	394.69 	38.84 	203.83 	357.13 
OPAY,Y15-19,B-E,F,GE10,PPS,2018	31.73 	8.57 	11.33 	28.68 	20.29 	10.33 	54.19 	18.61 	15.01 	13.88 	13.24 	8.88 	8.44 	15.46 	10.61 	12.18 	18.07 	23.14 	12.71 	10.06 	10.51 	11.44 	7.99 	25.46 	19.9 	16.66 	21.16 	27.23 	21.56 	2.95 	5.43 
OPAY,Y15-19,B-E,F,TOTAL,EUR,2018	: 	4.45 	8.28 	: 	21.59 	8.57 	71.86 	17.79 	: 	: 	11.95 	6.79 	5.72 	: 	6.83 	: 	20.85 	: 	7.57 	: 	: 	9.97 	6.36 	: 	: 	20.04 	: 	41.18 	33.64 	: 	: 
OPAY,Y15-19,B-E,F,TOTAL,NAC,2018	: 	8.71 	212.34 	: 	21.59 	8.57 	71.86 	17.79 	: 	: 	11.95 	6.79 	5.72 	: 	2179.71 	: 	20.85 	: 	32.24 	: 	: 	9.97 	6.36 	: 	: 	17.71 	: 	395.24 	38.86 	: 	: 
OPAY,Y15-19,B-E,F,TOTAL,PPS,2018	: 	8.56 	11.28 	: 	20.21 	10.33 	54.19 	18.6 	: 	: 	13.24 	8.88 	8.44 	: 	10.61 	: 	18.07 	: 	12.7 	: 	: 	11.44 	7.99 	: 	: 	16.66 	: 	27.27 	21.58 	: 	: 
OPAY,Y15-19,B-E,M,GE10,EUR,2018	31.17 	6.32 	10.43 	47.44 	28.72 	12.01 	39.39 	19.38 	21.16 	16.9 	14.9 	9.07 	8.14 	27.07 	9.51 	13.26 	26.07 	35.78 	9.98 	11.46 	7.48 	11.7 	8.55 	35.85 	27.97 	23.15 	37.77 	51.5 	41.18 	2.05 	4.25 
OPAY,Y15-19,B-E,M,GE10,NAC,2018	31.17 	12.36 	267.46 	353.61 	28.72 	12.01 	39.39 	19.38 	21.16 	16.9 	14.9 	9.07 	8.14 	27.07 	3033.58 	13.26 	26.07 	35.78 	42.53 	11.46 	34.8 	11.7 	8.55 	35.85 	287 	20.48 	4831 	494.29 	47.56 	261.69 	502.43 
OPAY,Y15-19,B-E,M,GE10,PPS,2018	27.15 	12.17 	14.2 	33.52 	26.88 	14.48 	29.69 	20.26 	18.63 	16.32 	16.58 	11.86 	12.02 	20.9 	14.76 	15.57 	22.57 	31.96 	16.76 	12.86 	13.82 	13.42 	10.73 	28.47 	22.63 	19.27 	23.27 	34.1 	26.4 	3.79 	7.63 
OPAY,Y15-19,B-E,M,TOTAL,EUR,2018	: 	6.32 	10.37 	: 	28.47 	12.03 	39.39 	19.4 	: 	: 	14.9 	9.05 	8.14 	: 	9.51 	: 	26.06 	: 	9.97 	: 	: 	11.72 	8.53 	: 	: 	23.09 	: 	51.45 	41.16 	: 	: 
OPAY,Y15-19,B-E,M,TOTAL,NAC,2018	: 	12.36 	265.88 	: 	28.47 	12.03 	39.39 	19.4 	: 	: 	14.9 	9.05 	8.14 	: 	3033.78 	: 	26.06 	: 	42.47 	: 	: 	11.72 	8.53 	: 	: 	20.43 	: 	493.82 	47.54 	: 	: 
OPAY,Y15-19,B-E,M,TOTAL,PPS,2018	: 	12.17 	14.12 	: 	26.65 	14.5 	29.69 	20.28 	: 	: 	16.58 	11.83 	12.02 	: 	14.76 	: 	22.56 	: 	16.74 	: 	: 	13.44 	10.71 	: 	: 	19.23 	: 	34.07 	26.39 	: 	: 
OPAY,Y15-19,B-E,T,GE10,EUR,2018	32.92 	5.73 	9.78 	45.96 	27.89 	10.48 	49.28 	19.11 	20.34 	16.29 	13.76 	8.09 	6.9 	26.58 	8.66 	12.56 	25.62 	34.65 	9.45 	10.81 	6.67 	11.32 	7.94 	35.25 	27.31 	22.8 	37.07 	49.9 	39.41 	1.79 	4.01 
OPAY,Y15-19,B-E,T,GE10,NAC,2018	32.92 	11.21 	250.74 	342.52 	27.89 	10.48 	49.28 	19.11 	20.34 	16.29 	13.76 	8.09 	6.9 	26.58 	2761.19 	12.56 	25.62 	34.65 	40.29 	10.81 	31.05 	11.32 	7.94 	35.25 	280.26 	20.17 	4741.15 	478.88 	45.53 	228.74 	473.76 
OPAY,Y15-19,B-E,T,GE10,PPS,2018	28.67 	11.03 	13.31 	32.47 	26.11 	12.64 	37.15 	19.97 	17.9 	15.74 	15.29 	10.58 	10.19 	20.53 	13.43 	14.75 	22.18 	30.95 	15.87 	12.14 	12.33 	12.98 	9.97 	27.99 	22.1 	18.98 	22.84 	33.04 	25.27 	3.31 	7.19 
OPAY,Y15-19,B-E,T,TOTAL,EUR,2018	: 	5.73 	9.73 	: 	27.67 	10.5 	49.28 	19.12 	: 	: 	13.76 	8.08 	6.9 	: 	8.66 	: 	25.62 	: 	9.44 	: 	: 	11.34 	7.93 	: 	: 	22.76 	: 	49.87 	39.41 	: 	: 
OPAY,Y15-19,B-E,T,TOTAL,NAC,2018	: 	11.2 	249.42 	: 	27.67 	10.5 	49.28 	19.12 	: 	: 	13.76 	8.08 	6.9 	: 	2761.84 	: 	25.62 	: 	40.23 	: 	: 	11.34 	7.93 	: 	: 	20.13 	: 	478.59 	45.53 	: 	: 
OPAY,Y15-19,B-E,T,TOTAL,PPS,2018	: 	11.02 	13.24 	: 	25.91 	12.66 	37.15 	19.99 	: 	: 	15.29 	10.57 	10.19 	: 	13.44 	: 	22.18 	: 	15.85 	: 	: 	13 	9.96 	: 	: 	18.94 	: 	33.02 	25.27 	: 	: 
OPAY,Y15-19,B-F,F,GE10,EUR,2018	36.2 	4.47 	8.3 	40.6 	21.74 	8.58 	71.86 	17.8 	17.29 	14.38 	11.95 	6.84 	5.72 	24.4 	6.83 	10.38 	20.85 	26.29 	7.56 	8.97 	5.71 	10.31 	6.36 	32.08 	24.58 	20.07 	34.35 	40.97 	34.04 	1.6 	3.08 
OPAY,Y15-19,B-F,F,GE10,NAC,2018	36.2 	8.74 	212.89 	302.59 	21.74 	8.58 	71.86 	17.8 	17.29 	14.38 	11.95 	6.84 	5.72 	24.4 	2178.61 	10.38 	20.85 	26.29 	32.2 	8.97 	26.56 	10.31 	6.36 	32.08 	252.29 	17.74 	4392.93 	393.22 	39.31 	203.83 	364.74 
OPAY,Y15-19,B-F,F,GE10,PPS,2018	31.53 	8.6 	11.3 	28.68 	20.35 	10.34 	54.19 	18.61 	15.22 	13.93 	13.24 	8.95 	8.44 	18.87 	10.6 	12.18 	18.07 	23.48 	12.68 	10.07 	10.55 	11.82 	8 	25.47 	19.9 	16.69 	21.16 	27.13 	21.83 	2.95 	5.54 
